Perfume,House,PercentNegative,PercentNeutral,PercentPositive,TopMiddleBaseAccord,TopMiddleBaseAccordValues,Total reviews (basenotes.net),top 20 Amazon Best Seller Rank (Amazon.com) not including essential oils or colognes,top 20 Nordstrom Best Seller Rank (nordstrom.com) not including essential oils or colognes
Heat,Beyonce,0.375,0.375,0.25,Base note 1,Sequoia wood,8,20,
Diamonds and Sapphires,Elizabeth Taylor,0.166666667,0.166666667,0.666666667,Base note 1,Sandalwood,6,19,
Vera Wang,Vera Wang,0.290322581,0.35483871,0.35483871,Base note 1,Sandalwood,31,18,
Omnia Crystalline,Bvulgari,0.181818182,0.318181818,0.5,Base note 1,Sandalwood,22,16,
Shalimar,Guerlain,0.109090909,0.086363636,0.8,Base note 1,Vanilla,220,15,
Happy,Clinique,0.25,0.386363636,0.363636364,Base note 1,Hawaiian Wedding Flower,44,2,
Vera Wang Princess,Vera Wang,0.146341463,0.219512195,0.634146341,Base note 1,Amber,41,1,
Pleasures,Estée Lauder,0.145454545,0.218181818,0.636363636,Base note 1,Sandalwood,55,5,
Still Jennifer Lopez,Jennifer Lopez,0.125,0.1875,0.6875,Base note 1,Sandalwood,16,3,
Versace Bright Crystal,Versace,0.172413793,0.275862069,0.551724138,Base note 1,Amber,29,9,20
White Diamonds,Elizabeth Taylor,0.227272727,0.204545455,0.568181818,Base note 1,Amber,44,4,
Lovely,Sarah Jessica Parker,0.225,0.2,0.575,Base note 1,Patchouli,80,6,
La Vie Est Belle,"
Lancôme",0.095238095,0.285714286,0.619047619,Base note 1,Tonka bean,21,,8
Jessica McClintock,Jessica Mcclintock,0.352941176,0.235294118,0.411764706,Base note 1,Rose,17,14,
Romance,Ralph Lauren,0.212765957,0.425531915,0.361702128,Base note 1,Patchouli,47,12,
Fantasy,Britney Spears,0.290322581,0.241935484,0.467741935,Base note 1,Musk,62,,
Beautiful,Estée Lauder,0.23255814,0.209302326,0.558139535,Base note 1,Sandalwood,43,8,
Cashmere Mist,Donna Karan,0.204081633,0.285714286,0.510204082,Base note 1,Musk,49,7,
Glow,Jennifer Lopez,0.235294118,0.294117647,0.470588235,Base note 1,Musk,34,10,
L'eau de Issey,Versace,0.188679245,0.188679245,0.622641509,Base note 1,Musk,53,17,
Be Delicious,DKNY,0.253521127,0.338028169,0.408450704,Base note 1,Amber,71,13,
Flowerbomb,Viktor&Rolf,0.221052632,0.294736842,0.484210526,Base note 1,Rose,95,11,1
Coco Mademoiselle,Chanel,0.112068966,0.155172414,0.732758621,Base note 1,Patchouli,116,,2
Jo Malone London Wood Sage & Sea Salt,Jo Malone London,0.181818182,0.363636364,0.454545455,Base note 1,Driftwood,11,,3
Jo Malone London Nectarine Blossom & Honey Cologne,Jo Malone London,0.260869565,0.304347826,0.434782609,Base note 1,Vetiver,23,,4
Chance eu Tendre,Chanel,0.333333333,0.416666667,0.25,Base note 1,Amber,12,,5
Jo Malone London English Pear & Freesia,Jo Malone London,0.25,0.5,0.25,Base note 1,Patchouli,4,,6
Tory Burch,Tory Burch,0.6,,0.4,Base note 1,Vetiver,5,,7
Chloe,chloe,0.216216216,0.243243243,0.540540541,Base note 1,Amber,37,,9
Jo Malone London 'Peony & Blush Suede',Jo Malone London,0.666666667,,0.333333333,Base note 1,Suede,3,,10
Tobacco Vanille,Tom Ford,0.098901099,0.181318681,0.71978022,Base note 1,Dry fruit,182,,11
Black Orchid,Tom Ford,0.24516129,0.180645161,0.574193548,Base note 1,Vetiver,155,,12
J'adore,Dior,0.177083333,0.291666667,0.53125,Base note 1,Musk,96,,13
Lanvin Éclat d’Arpège,Lavin,0.028571429,0.314285714,0.657142857,Base note 1,Cedar,35,,14
Chanel No. 5,Chanel,0.132275132,0.148148148,0.71957672,Base note 1,Sandalwood,189,,15
Chance,Chanel,0.214285714,0.238095238,0.547619048,Base note 1,Musk,84,,16
Bottega Veneta,Bottega Veneta,0.05,0.1,0.85,Base note 1,Oakmoss,20,,17
"Philosophy ""Amazing Grace""",Philosophy,0.05,0.3,0.65,Base note 1,Oakmoss,20,,18
Beach,Bobbi Brown,,0.466666667,0.533333333,Base note 1,Musk,15,,19
Heat,Beyonce,0.375,0.375,0.25,Heart note 1,Honeysuckle,8,20,
Diamonds and Sapphires,Elizabeth Taylor,0.166666667,0.166666667,0.666666667,Heart note 1,Spices,6,19,
Vera Wang,Vera Wang,0.290322581,0.35483871,0.35483871,Heart note 1,Jasmine,31,18,
Omnia Crystalline,Bvulgari,0.181818182,0.318181818,0.5,Heart note 1,Lotus Flower,22,16,
Shalimar,Guerlain,0.109090909,0.086363636,0.8,Heart note 1,Iris,220,15,
Happy,Clinique,0.25,0.386363636,0.363636364,Heart note 1,Boysenberry Bush Flower,44,2,
Vera Wang Princess,Vera Wang,0.146341463,0.219512195,0.634146341,Heart note 1,Tuberose,41,1,
Pleasures,Estée Lauder,0.145454545,0.218181818,0.636363636,Heart note 1,Black Lilies,55,5,
Still Jennifer Lopez,Jennifer Lopez,0.125,0.1875,0.6875,Heart note 1,Pink freesia,16,3,
Versace Bright Crystal,Versace,0.172413793,0.275862069,0.551724138,Heart note 1,Magnolia,29,9,20
White Diamonds,Elizabeth Taylor,0.227272727,0.204545455,0.568181818,Heart note 1,Tuberose,44,4,
Lovely,Sarah Jessica Parker,0.225,0.2,0.575,Heart note 1,Apple martini,80,6,
La Vie Est Belle,"
Lancôme",0.095238095,0.285714286,0.619047619,Heart note 1,Iris,21,,8
Jessica McClintock,Jessica Mcclintock,0.352941176,0.235294118,0.411764706,Heart note 1,Jasmine,17,14,
Romance,Ralph Lauren,0.212765957,0.425531915,0.361702128,Heart note 1,Lotus Flower,47,12,
Fantasy,Britney Spears,0.290322581,0.241935484,0.467741935,Heart note 1,Cupcakes,62,,
Beautiful,Estée Lauder,0.23255814,0.209302326,0.558139535,Heart note 1,Orange Flower,43,8,
Cashmere Mist,Donna Karan,0.204081633,0.285714286,0.510204082,Heart note 1,Jasmine,49,7,
Glow,Jennifer Lopez,0.235294118,0.294117647,0.470588235,Heart note 1,Iris,34,10,
L'eau de Issey,Versace,0.188679245,0.188679245,0.622641509,Heart note 1,Carnation,53,17,
Be Delicious,DKNY,0.253521127,0.338028169,0.408450704,Heart note 1,Apple,71,13,
Flowerbomb,Viktor&Rolf,0.221052632,0.294736842,0.484210526,Heart note 1,Jasmine,95,11,1
Coco Mademoiselle,Chanel,0.112068966,0.155172414,0.732758621,Heart note 1,Lychee,116,,2
Jo Malone London Wood Sage & Sea Salt,Jo Malone London,0.181818182,0.363636364,0.454545455,Heart note 1,sea salt,11,,3
Jo Malone London Nectarine Blossom & Honey Cologne,Jo Malone London,0.260869565,0.304347826,0.434782609,Heart note 1,Nectarine,23,,4
Chance eu Tendre,Chanel,0.333333333,0.416666667,0.25,Heart note 1,Hyacinth,12,,5
Jo Malone London English Pear & Freesia,Jo Malone London,0.25,0.5,0.25,Heart note 1,Freesia,4,,6
Tory Burch,Tory Burch,0.6,,0.4,Heart note 1,Peony,5,,7
Chloe,chloe,0.216216216,0.243243243,0.540540541,Heart note 1,Rose,37,,9
Jo Malone London 'Peony & Blush Suede',Jo Malone London,0.666666667,,0.333333333,Heart note 1,Peony,3,,10
Tobacco Vanille,Tom Ford,0.098901099,0.181318681,0.71978022,Heart note 1,Tonka bean,182,,11
Black Orchid,Tom Ford,0.24516129,0.180645161,0.574193548,Heart note 1,Orchid,155,,12
J'adore,Dior,0.177083333,0.291666667,0.53125,Heart note 1,Tuberose,96,,13
Lanvin Éclat d’Arpège,Lavin,0.028571429,0.314285714,0.657142857,Heart note 1,Wisteria,35,,14
Chanel No. 5,Chanel,0.132275132,0.148148148,0.71957672,Heart note 1,Jasmine,189,,15
Chance,Chanel,0.214285714,0.238095238,0.547619048,Heart note 1,Vanilla,84,,16
Bottega Veneta,Bottega Veneta,0.05,0.1,0.85,Heart note 1,Jasmine,20,,17
"Philosophy ""Amazing Grace""",Philosophy,0.05,0.3,0.65,Heart note 1,Lily of the valley,20,,18
Beach,Bobbi Brown,,0.466666667,0.533333333,Heart note 1,Sea spray,15,,19
Heat,Beyonce,0.375,0.375,0.25,Main accord 1,sweet,8,20,
Diamonds and Sapphires,Elizabeth Taylor,0.166666667,0.166666667,0.666666667,Main accord 1,floral,6,19,
